Title;2YIF;5YIF;AI;SNIP;SJR
journal of leadership and organizational studies;3.448;3.964;1.01;1.525;1.072
personnel review;3.434;4.034;0.736;1.379;0.8
industry and innovation;3.424;4.444;1.013;1.978;1.443
journal of service theory and practice;3.415;4.289;0.707;1.516;1.166
international journal of lean six sigma;3.329;4.149;0.362;1.562;0.578
journal of fashion marketing and management;3.329;4.012;0.516;1.219;0.77
leadership and organization development journal;3.242;3.575;0.625;1.44;0.741
journal of management inquiry;3.194;3.225;1.121;1.802;2.315
mit sloan management review;3.155;5.186;1.514;1.076;0.774
organizational psychology review;3.056;5.77;2.407;2.035;2.464
creativity and innovation management;3.051;4.396;0.827;1.422;1.148
journal of marketing management;3.048;4.973;1.027;1.442;0.944
nonprofit management and leadership;3.044;3.006;0.676;1.456;0.844
baltic journal of management;2.897;2.816;0.389;0.951;0.513
technology analysis and strategic management;2.874;2.975;0.5;1.094;0.761
journal of the operational research society;2.86;3.05;0.703;1.35;0.753
service business;2.791;3.315;0.517;1.385;0.789
knowledge management research and practice;2.744;3.027;0.357;1.246;0.516
research in transportation business and management;2.74;3.575;0.779;1.386;0.835
international journal of management education;2.707;3.447;0.533;1.451;1.167
operations management research;2.706;4.633;0.688;0.964;0.703
group decision and negotiation;2.648;2.428;0.523;1.076;0.503
international journal of managing projects in business;2.634;2.711;0.519;0.979;0.739
european management review;2.534;2.994;0.646;1.148;0.784
european journal of international management;2.507;2.851;0.478;0.996;0.663
international journal of emerging markets;2.488;2.504;0.26;1.082;0.433
scandinavian journal of management;2.433;3.161;0.833;1.183;0.958
australian journal of management;2.422;2.253;0.301;0.907;0.419
leadership;2.403;2.782;0.645;1.569;1.021
management and organization review;2.373;3.325;0.844;1.203;0.896
asia pacific business review;2.361;1.771;0.292;0.746;0.424
management communication quarterly;2.34;2.57;0.9;1.149;1.055
journal of forecasting;2.306;1.861;0.52;1.112;0.543
gender in management;2.293;2.425;0.436;1.124;0.467
journal of organizational change management;2.293;2.42;0.411;0.915;0.513
international journal of islamic and middle eastern finance and management;2.276;2.387;0.22;1.439;0.487
employee relations;2.248;3.091;0.596;1.163;0.546
cross cultural and strategic management;2.203;2.787;0.528;0.918;0.545
action research;2.102;1.952;0.436;1.184;0.392
system dynamics review;2.097;1.753;0.374;0.981;0.491
international journal of strategic property management;2.093;2.31;0.322;0.976;0.43
service science;2;2.5;0.562;0.916;0.624
managerial auditing journal;1.905;2.714;0.364;1.009;0.422
journal of economics and management strategy;1.871;2.527;1.661;1.284;1.672
international journal of selection and assessment;1.84;1.875;0.56;0.946;0.812
systems research and behavioral science;1.75;1.653;0.338;0.965;0.371
international journal of manpower;1.75;2.107;0.488;0.955;0.435
systemic practice and action research;1.701;1.373;0.173;0.865;0.347
journal of organizational behavior management;1.677;2.138;0.301;1.384;0.396
chinese management studies;1.676;1.759;0.238;0.548;0.343
international journal of technology management;1.667;2.157;0.377;0.652;0.368
culture and organization;1.542;1.658;0.485;1.017;0.519
information technology and management;1.533;2.627;0.403;1.141;0.471
international journal of shipping and transport logistics;1.5;1.559;0.311;0.852;0.503
qualitative research in accounting and management;1.489;1.912;0.289;0.841;0.462
interfaces;1.434;1.632;0.611;0.77;0.662
negotiation and conflict management research;1.263;1.56;0.459;1.094;0.474
management and organizational history;1.258;1.735;0.619;0.886;0.432
ima journal of management mathematics;1.186;1.636;0.363;0.935;0.484
review of industrial organization;1.054;1.069;0.512;0.977;0.385
international journal of arts management;1;1.032;0.23;0.621;0.348
south african journal of economic and management sciences;0.991;1.054;0.197;0.736;0.277
managerial and decision economics;0.975;1.109;0.258;0.589;0.288
south african journal of business management;0.55;0.682;0.115;0.323;0.179
